time,speed_rpm,current_main,current_aux,torque,temperature,ambient
0,0,0,0,0,25,25
0.1,1377.44864878719,20.8298703549002,21.1355694252623,0.231795867446995,25.2239375418198,25
0.2,1489.80717728961,9.63803314875813,9.05105292394338,4.1798296682157,25.2385965469311,25
0.3,1490.28425747853,9.5968044868941,9.04307576283301,4.1862416924871,25.2519558130686,25
0.4,1490.28829204008,9.59614098373101,9.04284802660153,4.18577705796041,25.2653185819506,25
0.5,1490.28829073519,9.59613124701634,9.04284282966709,4.18576100902551,25.2786796458397,25
0.6,1490.28828962276,9.59613112297072,9.04284272983288,4.18576063743818,25.2920389204814,25
0.7,1490.28828958879,9.59613112173173,9.04284272813543,4.18576063024006,25.3053964049199,25
0.8,1490.28828958805,9.59613112172544,9.04284272811005,4.1857606301181,25.3187520993806,25
0.9,1490.28828958803,9.59613112172485,9.04284272810887,4.18576063011597,25.3321060041035,25
1,1490.28828958803,9.59613112172611,9.04284272810863,4.18576063011586,25.3454581193284,25
1.1,1490.28828958803,9.59613112172655,9.04284272811335,4.18576063011568,25.358808445295,25
1.2,1490.28828958803,9.59613112172596,9.04284272811319,4.18576063011436,25.3721569822431,25
1.3,1490.28828958803,9.59613112172818,9.04284272811397,4.18576063011565,25.3855037304124,25
1.4,1490.28828958803,9.59613112172633,9.04284272811067,4.18576063011561,25.3988486900429,25
1.5,1489.6591105609,9.48039708523071,8.97083407790084,3.89743180884511,25.4122106937347,25
1.6,1490.26400412522,9.59472661536744,9.04135512628073,4.17976906997545,25.4255689233225,25
1.7,1490.28769369046,9.59612071413997,9.04281893036665,4.18565280591094,25.4389086701702,25
1.8,1490.28827765839,9.59613117447948,9.04284238996533,4.18575889657071,25.4522464740595,25
1.9,1490.2882893784,9.59613112611807,9.04284272400261,4.18576060529703,25.4655824897719,25
2,1490.28828958473,9.59613112184658,9.0428427280695,4.18576062981086,25.4789167183987,25
2.1,1490.28828958798,9.59613112172292,9.04284272811146,4.18576063011356,25.4922491601649,25
2.2,1490.28828958803,9.59613112172307,9.04284272811146,4.18576063011564,25.5055798153093,25
2.3,1490.28828958803,9.59613112172381,9.04284272811382,4.18576063011445,25.518908684071,25
2.4,1490.28828958803,9.59613112172218,9.04284272811162,4.18576063011613,25.5322357666895,25
2.5,1490.28828958803,9.59613112172396,9.04284272811099,4.18576063011555,25.5455610634045,25
2.6,1490.28828958803,9.59613112172337,9.04284272811256,4.18576063011657,25.5588845744549,25
2.7,1490.28828958803,9.59613112172277,9.04284272811146,4.18576063011538,25.57220630008,25
2.8,1486.64813714012,9.74099119468837,9.14680739016786,4.27327212075682,25.5856017587191,25
2.9,1490.26962468617,9.60171809269274,9.04523812473018,4.19200062136589,25.598880974568,25
3,1490.28857691094,9.59620821605483,9.04289237855911,4.18592994703081,25.6121966328552,25
