time,speed_rpm,current_main,current_aux,torque,temperature,ambient
0,0,0,0,-0,25,25
0.09901,1174.56335018093,-26.0877542436077,-31.075510113502,24.7667171564781,25.085417406798,25
0.19901,1254.8855795217,-21.4680266773537,-24.2457664492925,16.4257168615934,25.1203189725528,25
0.29901,1257.13546312887,-22.8749441781601,-23.7761612329726,16.3393553199569,25.1501640414438,25
0.39901,1257.16333100865,-26.0296717016816,-25.0535549310209,16.3381837610987,25.1799380155303,25
0.49901,1257.16369574014,-24.9102569762445,-19.7763743831731,16.3381685743299,25.2097034803535,25
0.59901,1257.16370045693,-26.7430003104071,-21.9567567129642,16.3381683777949,25.2394612503008,25
0.69901,1257.16370051808,-21.5001025877227,-23.0723165563683,16.3381683752505,25.2692113379036,25
0.79901,1257.16370051885,-23.2536726708064,-24.0915588816431,16.3381683752148,25.2989537452822,25
0.89901,1257.16370051888,-21.8840783554817,-24.2849410486291,16.338168375217,25.3286884744209,25
0.99901,1257.16370051886,-25.0719011737204,-22.2238191598397,16.3381683752142,25.3584155273017,25
1.09901,1257.16370051888,-19.3057317480346,-23.4187757910179,16.338168375217,25.3881349059062,25
1.19901,1257.16370051886,-19.3707517768658,-28.0734379977687,16.3381683752143,25.417846612216,25
1.29901,1257.16370051887,-23.9648539132039,-23.6247581109047,16.3381683752169,25.4475506482116,25
1.39901,1257.16370051886,-26.3007034143137,-21.7952162444134,16.3381683752142,25.477247015873,25
1.499,1257.19250843774,-25.2213979928644,-24.2195011956351,16.3945136603842,25.5069310426835,25
1.59901,1257.16370051886,-23.6381778536536,-28.2218524838952,16.3381683752142,25.5366167541115,25
1.69901,1257.16370051887,-23.812685617299,-21.5908087521769,16.3381683752169,25.5662901286462,25
1.79901,1257.16370051885,-25.2364457897079,-25.4524826367488,16.3381683752141,25.5959558427626,25
1.89901,1257.16370051887,-22.9474806735517,-26.4095072087809,16.3381683752168,25.6256138984379,25
1.999,1257.19250843772,-24.5794685958431,-26.1750880213042,16.3945136603811,25.6552596258823,25
2.099,1257.19250843774,-26.6404510792828,-25.2606136632961,16.394513660384,25.6849023711517,25
2.19901,1257.16370051885,-24.3461330596225,-21.1864690387382,16.3381683752139,25.714542134586,25
2.29901,1257.16370051886,-23.8250807103912,-23.6342373972649,16.3381683752168,25.7441695762632,25
2.39901,1257.16370051885,-21.3036401027016,-24.8377544003445,16.3381683752139,25.7737893693796,25
2.499,1257.19250843773,-25.5057602921092,-20.3476037189637,16.3945136603839,25.8033968468686,25
2.599,1257.19250843772,-23.3967659681063,-21.966271644996,16.3945136603808,25.8330013493315,25
2.69901,1257.16370051886,-23.0235760731943,-21.7226386113305,16.3381683752167,25.8626028771078,25
2.79901,1257.16370051884,-28.7220035594263,-27.1230518772691,16.3381683752138,25.892192095722,25
2.89901,1257.16370051886,-22.7154354148918,-24.0516121931605,16.3381683752167,25.9217736756433,25
2.999,1257.19250843772,-25.8768945355184,-18.9522500950283,16.3945136603808,25.9513429525242,25
3.099,1257.19250843773,-24.3840878330819,-21.5085267276386,16.3945136603838,25.9809092615188,25
