time,speed_rpm,current_main,current_aux,torque,temperature,ambient
0.09901,1174.56335018093,-28.5650031774339,-28.5650031774339,24.7667171564781,25.085417406798,25
0.19901,1254.8855795217,-23.7898874934698,-23.7898874934698,16.4257168615934,25.1203189725528,25
0.29901,1257.13546312887,-23.6736707531757,-23.6736707531757,16.3393553199569,25.1501640414438,25
0.39901,1257.16333100865,-23.671743323563,-23.671743323563,16.3381837610987,25.1799380155303,25
0.49901,1257.16369574014,-23.6717194017315,-23.6717194017315,16.3381685743299,25.2097034803535,25
0.59901,1257.16370045693,-23.6717190891622,-23.6717190891622,16.3381683777949,25.2394612503008,25
0.69901,1257.16370051808,-23.6717190851403,-23.6717190851403,16.3381683752505,25.2692113379036,25
0.79901,1257.16370051885,-23.6717190850664,-23.6717190850664,16.3381683752148,25.2989537452822,25
0.89901,1257.16370051888,-23.6717190850869,-23.6717190850869,16.338168375217,25.3286884744209,25
0.99901,1257.16370051886,-23.6717190850655,-23.6717190850655,16.3381683752142,25.3584155273017,25
1.09901,1257.16370051888,-23.6717190850867,-23.6717190850867,16.338168375217,25.3881349059062,25
1.19901,1257.16370051886,-23.6717190850651,-23.6717190850651,16.3381683752143,25.417846612216,25
1.29901,1257.16370051887,-23.6717190850864,-23.6717190850864,16.3381683752169,25.4475506482116,25
1.39901,1257.16370051886,-23.6717190850649,-23.6717190850649,16.3381683752142,25.477247015873,25
1.499,1257.19250843774,-23.6135382856059,-23.6135382856059,16.3945136603842,25.5069310426835,25
1.59901,1257.16370051886,-23.6717190850645,-23.6717190850645,16.3381683752142,25.5366167541115,25
1.69901,1257.16370051887,-23.6717190850858,-23.6717190850858,16.3381683752169,25.5662901286462,25
1.79901,1257.16370051885,-23.6717190850641,-23.6717190850641,16.3381683752141,25.5959558427626,25
1.89901,1257.16370051887,-23.6717190850855,-23.6717190850855,16.3381683752168,25.6256138984379,25
1.999,1257.19250843772,-23.6135382855838,-23.6135382855838,16.3945136603811,25.6552596258823,25
2.099,1257.19250843774,-23.613538285605,-23.613538285605,16.394513660384,25.6849023711517,25
2.19901,1257.16370051885,-23.6717190850635,-23.6717190850635,16.3381683752139,25.714542134586,25
2.29901,1257.16370051886,-23.6717190850849,-23.6717190850849,16.3381683752168,25.7441695762632,25
2.39901,1257.16370051885,-23.6717190850632,-23.6717190850632,16.3381683752139,25.7737893693796,25
2.499,1257.19250843773,-23.6135382856044,-23.6135382856044,16.3945136603839,25.8033968468686,25
2.599,1257.19250843772,-23.6135382855828,-23.6135382855828,16.3945136603808,25.8330013493315,25
2.69901,1257.16370051886,-23.6717190850842,-23.6717190850842,16.3381683752167,25.8626028771078,25
