time,speed_rpm,current_main,current_aux,torque,temperature,ambient
0,37.516700609785,-0.668701294645702,0.266141889092461,-0,25,25
0.1,1173.68946127331,25.9249483775806,33.6037636748649,17.6136708974783,25.2514107383379,25
0.2,1363.85008227082,14.3474169056338,13.8135481689016,3.99676885048305,25.2983853404562,25
0.3,1286.60628903535,13.1838438796568,13.7063135678787,3.91754236514835,25.3264621705653,25
0.4,1304.72000244226,11.524880367697,12.7543046199387,3.91674739483074,25.3543717433975,25
0.5,1402.58020034656,12.1123602428862,16.6721104797271,3.91674190916557,25.3822780209594,25
0.6,1440.11655614577,11.150471092161,15.0533692917841,3.91674187537642,25.4101821454171,25
0.7,1221.22699937152,13.9021302598067,14.2251648430115,3.91674187516124,25.4380841245268,25
0.8,1444.38394504714,12.9817943204026,13.4684676297417,3.91674187515874,25.465983958503,25
0.9,1363.82862506359,13.7006061220639,13.324898487058,3.91674187515825,25.4938816475108,25
1,1358.16901151421,12.0275233429516,14.8550990592276,3.91674187515888,25.5217771917156,25
1.1,1354.19487746763,15.0538141117885,13.9679495264015,3.91674187515897,25.5496705912816,25
1.2,1259.57860551969,15.0196892884315,10.5122748228015,3.91674187516116,25.5775618463741,25
1.3,1227.63795929748,12.6085411136592,13.8150258854158,3.91674187515896,25.605450957158,25
1.4,1365.57900691094,11.3826042289099,15.1732987882133,3.91674187515902,25.6333379237982,25
1.5,1307.63240990847,11.9258052544387,13.3723526773491,3.98118860331521,25.661242382254,25
1.6,1487.38308360625,12.780692697334,10.4029350311283,3.91623891404455,25.6891486469523,25
1.7,1342.83579585563,12.6884066403502,15.3250553218004,3.91674068964404,25.7170291485761,25
1.8,1241.58338410453,11.941164480473,12.4581021987663,3.91674188099301,25.744907537209,25
1.9,1454.69338038341,13.14249476928,11.7475961588783,3.91674187519733,25.7727837822862,25
2,1298.59341792311,12.2541850463885,11.8737519534948,3.91674187515912,25.8006578842044,25
2.1,1361.45454612131,11.1698430309067,12.5543409886815,3.91674187515702,25.8285298431327,25
2.2,1452.28854946888,12.4084322587057,15.6252397081149,3.91674187515891,25.8563996592357,25
2.3,1448.2514475407,12.6818990610501,13.8079883543121,3.9167418751607,25.884267332678,25
2.4,1401.91264956085,14.0052407584236,12.9144835029977,3.91674187515826,25.9121328636248,25
2.5,1408.54653643866,11.766836409074,16.2108029424579,3.91674187515904,25.9399962522405,25
2.6,1396.73895898079,12.8764388313644,15.0061243941805,3.91674187515726,25.9678574986898,25
2.7,1455.91662713944,13.102557197442,15.2271812569367,3.91674187515913,25.9957166031375,25
2.8,1321.03624588369,10.1222932131946,11.2010369728749,3.98696645238424,26.0235700082029,25
2.9,1215.655508965,13.2629648007291,13.4964632278506,3.91891160323944,26.0514710021931,25
3,1253.29935285936,11.571573640291,17.2492844225483,3.91674575851018,26.079324315308,25
3.1,1381.36522843301,12.3569805082003,15.3467968333502,3.91674186485217,26.1071748521452,25
3.2,1369.29519118171,15.8418606525713,11.0685561467316,3.91674187514333,26.1350232457363,25
3.3,1372.43218807752,14.6744998420089,12.6354288053602,3.9167418751595,26.1628694983075,25
3.4,1318.08012966783,13.7898471829659,13.6196188115846,3.91674187516106,26.1907136100298,25
3.5,1293.53114051467,12.5641213567657,15.4511455742936,3.91674187515912,26.2185555810679,25
3.6,1405.0593404121,11.6967757817664,13.9643798864642,3.91674187515722,26.2463954115862,25
3.7,1360.55602501769,13.257294102382,13.7635861458213,3.91674187515742,26.2742331017493,25
3.8,1336.32716350379,12.483091585682,11.9488512940325,3.91674187515926,26.3020686517218,25
3.9,1244.93874765959,11.1629029761335,14.6095420219245,3.8814056683934,26.3299483262962,25
4,1209.15964670453,12.7352351256465,15.3208178454882,3.91688976144148,26.3577765778344,25
4.1,1420.21518136582,11.6690227665949,13.4702349961624,3.91674264204372,26.3856057617248,25
4.2,1441.35606657636,14.1397370130332,15.1698163534022,3.91674187574525,26.4134327495811,25
4.3,1379.0577768221,12.1857544606687,15.4048121090801,3.91674187515848,26.4412575977411,25
4.4,1220.83471145994,13.5880335081853,12.7697212079318,3.91674187515677,26.4690803066965,25
4.5,1330.1114221703,12.1037578220834,13.8415839560977,3.91674187516275,26.496900876613,25
4.6,1390.47556400621,12.8132134653161,12.8123333930954,3.91674187515854,26.5247193076551,25
4.7,1399.356960556,12.9550239509058,15.8846839850111,3.91674187515965,26.5525355999874,25
4.8,1225.80472335576,12.3634804213719,14.0930860144267,3.91674187516019,26.5803497537742,25
4.9,1322.38069345553,15.4282973393567,14.3530790130799,3.91674187515683,26.6081617691799,25
5,1324.7396065736,13.7632379015006,15.6712208427526,3.91083302517623,26.6360156534684,25
5.1,1305.38266190859,14.2486139787155,13.4162878450824,3.91674304066084,26.6638227334658,25
5.2,1366.18340262897,15.3683299715767,17.4182281639941,3.91674195899687,26.6916283352285,25
5.3,1472.18977817413,13.2440765252314,13.9631484603542,3.91674187540768,26.7194317954616,25
5.4,1492.28453974749,14.0610669396218,12.0394636066973,3.91674187515751,26.7472331180953,25
5.5,1376.5626743429,11.0580645734135,14.9084276586708,3.91674187516314,26.7750323033343,25
5.6,1357.34899615056,11.5716866493149,14.7364122904769,3.91674187515886,26.8028293513428,25
5.7,1234.29833212094,9.65033713283494,12.90296363888,2.82594642232277,26.8308215923329,25
5.8,1363.02493796913,11.7653040878694,15.4120260074044,3.9170063979858,26.8584600348448,25
5.9,1324.06572901316,12.202052012038,17.3398061038686,3.91675508878832,26.8862510574684,25
6,1404.31458382554,11.8472774872894,13.0458669690552,3.91674190562474,26.9140395597104,25
6.1,1338.27480340852,14.1472701353268,16.4125540832711,3.91674187513885,26.9418259207167,25
6.2,1306.63544410704,11.7022071002811,11.6116648402923,3.91674187516272,26.9696101454584,25
6.3,1271.57810058439,11.8197335983167,13.2466095379233,3.91674187515966,26.9973922341199,25
6.4,1332.44130595053,12.8841142125614,12.3293837709419,3.91674187515732,27.0251721868657,25
6.5,1313.25730725414,11.7173109588525,16.5178746685812,3.98696645238584,27.0529464319905,25
6.6,1255.55099648004,13.4576766338575,14.9843008685081,3.91891160323513,27.0807684724815,25
6.7,1562.41329909392,12.330667388166,12.2906540820046,3.91674575851378,27.1085426547015,25
6.8,1343.71645253209,14.4655094339064,13.3279720212435,3.9167418648549,27.1363140641696,25
6.9,1357.28465971849,13.6830174906017,14.9872496742115,3.91674187514125,27.1640833364669,25
7,1386.94783666314,11.8767232459749,10.3572101759381,3.91674187516083,27.1918504738272,25
7.1,1520.73789953775,13.7621575898441,14.8746947436529,3.91674187515663,27.2196154764209,25
7.2,1370.70545930246,13.9769674092812,15.9221186839247,3.91674187516283,27.2473783444125,25
7.3,1406.11494094138,13.9296851641332,13.802581346834,3.91674187515914,27.2751390779657,25
7.4,1319.02521084469,9.95099621153535,19.4434322326565,3.9167418751599,27.302897677245,25
7.5,1321.83791643956,12.1241982881835,13.3422274385573,3.91674187516087,27.3306541424142,25
7.6,1334.04421065599,10.2907157610911,15.1831235323848,3.91674187515662,27.3584084736374,25
7.7,1409.22803704182,14.8473227978458,14.9436367220185,3.91674187516285,27.3861606710787,25
7.8,1396.2597353783,13.2080221116077,14.3633203170824,3.91674187515915,27.4139107349021,25
7.9,1306.41658317682,12.4476527116545,9.1884929017958,3.91674187516016,27.4416586652719,25
8,1289.05639123938,11.3375474366208,18.0059246118361,3.91674187516096,27.469404462352,25
8.1,1390.22423557695,11.8916291112337,13.3156829203573,3.91674187515983,27.497148126306,25
8.2,1260.99603403206,11.9605053041393,12.7776427439145,3.91674187515834,27.5248896572985,25
8.3,1362.82311064235,13.73377324577,10.5486649728043,3.91674187516057,27.5526290554931,25
